"","sgNfe2l1","sgNfe2l2","doubleKO"
"Rpl7",0.101710911533063,0.627326966164633,0.558631403204759
"Il1r2",0.16062339495024,1.52420517054743,1.17157930409224
"Hspd1",0.571926582337626,0.517086530201312,0.41977684880288
"Eef1b2",0.180518617663351,0.52436142315495,0.580887496098399
"Rpl10a-ps1",0.258735589137701,0.788892757432179,0.553311756263969
"Idh1",0.692583612155182,0.281676535489861,0.288780565029332
"Dock10",-0.835444383082409,-0.486917202069515,-0.589633903511507
"C130026I21Rik",0.242476052181049,0.662758950732328,0.24879940401712
"Gm10552",1.34019252384841,0.918794031742459,0.367433939906833
"Zcchc2",-0.196359418900369,-0.399318132553971,-0.557037774111239
"Serpinb2",0.355124273475113,0.912581046211958,0.780580524361293
"Mapkapk2",-0.822059753277298,-0.565472038845883,-0.498853271917
"Gm4258",-0.628205206464679,-1.52056402752737,-0.954814616800956
"Rgs2",-0.0311976858937504,0.538456939265806,0.284540974957417
"Ptgs2",-0.922775909304224,0.18488472490629,0.226050560489263
"Fam129a",-0.463645335424536,0.633186798059874,0.667077261800848
"Gas5",-0.0644733224130487,0.423033098766737,0.545560254402486
"Prdx6",0.59995810647478,0.354635502769652,0.170407372607757
"Tnfsf4",-0.130946672365742,0.544216587033706,0.492168937156034
"Creg1",0.232804286870426,-0.941719887099454,-0.822631044615709
"Fcgr4",0.0785516741397769,0.509386651977286,0.23223538968892
"Fcgr3",0.756047431368005,0.500894436225423,0.142552400308965
"Nit1",1.14782669568788,0.672291832422752,0.552510259517029
"Slamf9",-0.3405678824043,0.904830775907513,0.848714288434139
"Zbtb18",-0.204566458202958,0.599391133630182,0.602653521991813
"Traf5",-0.0481833888372938,-0.817914648441819,-0.41418282310101
"Optn",-0.164526366244771,-0.146438723933021,-0.596505239831332
"Atp5c1",0.548330544601939,0.471896498735612,0.291527156051561
"Il2ra",0.65965602664609,1.32798462975011,1.15709465011413
"Mrc1",-0.0817356799731694,-0.41491986422283,-0.641249574690644
"Otud1",-0.28346341824461,-0.609325942460224,-0.30475315869705
"Il1f9",0.596306307122351,-0.804779902674837,-1.72572329008316
"Ass1",0.583249305017265,0.854429662302415,0.496773030623618
"Fam129b",-0.224055142799542,-0.610017496710612,-0.298547576220631
"Angptl2",0.471022169361596,-1.92897154811334,-1.32911895401992
"Traf1",-0.836663735545392,0.0431501380418133,-0.077338349803048
"Gsn",-0.286503944293252,-0.592999115585595,-0.165894629631968
"Ttll11",2.490536223062,1.97582579879764,1.72064770189325
"Rpl35",-0.0997622024246825,0.391198244612641,0.541846821693129
"Cytip",0.140637902477379,0.71284763913278,0.560858188609864
"Gm13546",-0.532421545531837,1.01734791185701,1.14928340800435
"Upp2",-0.0600841794274691,-1.14337196409514,-0.644142764722516
"Gm13571",0.813340270865944,0.718104006456369,0.182065005504962
"Clp1",0.394013930346239,0.760666257480839,0.13897335320201
"Prg2",-2.86007784139772,-1.99112874614407,-1.4544899007402
"Apip",0.532095315648827,0.547274964382816,0.182615049566821
"Rcn1",-0.686650877505939,-1.12411847178426,-0.693032323468864
"Immp1l",0.601229055767257,0.179672134471144,-0.0685108994234653
"Arl14ep",1.23041863337985,1.22052774335393,1.34233665186884
"Thbs1",-1.21299129467546,-0.411559408170413,-0.0423417399470418
"Btbd3",1.82642679821841,2.11603922310145,2.50599580446991
"Snrpb2",0.0697640311959695,0.501690682814781,0.230783799621856
"Xrn2",0.359522433660504,0.654567420232883,0.345265327779409
"Cst3",-0.0992203009110799,0.600169083389275,0.57155496238847
"Srxn1",0.229794366445357,-1.47036556622227,-1.22013210683096
"Bcl2l1",-0.233065196365968,0.673584978541919,0.336637705690371
"Acss2",-0.393142295755386,-1.90748752051247,-0.647265579488765
"Procr",0.936314728127473,0.192308266566468,0.352581966372369
"Epb41l1",-1.10482025353818,-1.27760913059607,-1.47616578309953
"Mafb",0.406999118002032,1.11201074044635,1.49745812584022
"Stk4",-0.663658073044404,0.0604039313310283,0.0888145888361436
"Cebpb",-0.605193576060051,-0.592700611440699,-0.318363406139788
"Rps21",0.00480906901556111,0.326243593116313,0.549363356586566
"Zbtb46",0.24215560259252,1.38244941118662,0.94487137689388
"Otud5",-0.747188435052238,-0.333455011273499,-0.375181974751363
"Ebp",0.174823682416877,0.500148987659473,0.376849557821139
"Timp1",-0.0947837467626025,0.73919221451544,0.73440288528566
"Cfp",-0.133403287850951,0.500788032276162,0.530387477482973
"Slc25a5",0.578901096490045,0.603803726337238,0.308428409317168
"Rpl39",0.354495779062306,0.354313288995336,0.516632456800444
"Lamp2",0.610111951931342,0.407410325796551,0.221030179922463
"Brcc3",0.543632639406304,0.824147259499825,0.457314419948707
"Vbp1",0.281753179639176,0.614235408775841,0.356146382048101
"Gm6977",0.695685806369694,0.253485153614541,-0.0948863593453568
"Apool",0.471260639543782,0.660627380953237,0.228394276757307
"Rpl36a",0.375356297186643,1.04765212031257,0.616283038625808
"Tceal8",0.684256699375068,0.487489679354161,0.536526532992881
"Rnf128",0.248675803152739,-0.863937406577114,-0.586558179030654
"Tmem29",0.516554371373937,0.817383733911923,0.575920457209215
"Acot9",0.0837068972741148,0.52104237899914,0.251845572520815
"Mid1",-0.312021979482595,-1.02133093935731,-0.989676138457282
"Gm15247",-0.648006220850355,-1.08498265935797,-0.812835951888021
"Car2",0.0962712189966748,0.965040276907748,0.815142299685937
"Rpl22l1",-0.337394467730158,0.583288344311854,0.576603959371926
"Alg5",0.420451927595733,0.597805540407107,0.340153301600934
"Med12l",1.2388060483428,0.643658337300391,0.215962841213695
"Gmps",0.489998136138139,0.813995680451315,0.431187497547108
"Ptx3",-0.512204660990839,-0.261368164983084,-0.114607938394665
"Rps3a1",0.181050699172321,0.500460816141867,0.523081308508299
"Fcrls",-0.701811643481665,1.0258127694923,0.71471117873915
"Ssr2",0.312490433617078,0.662608722579733,0.423462473071337
"Arhgef2",-0.935336653287469,-0.191882861902219,-0.255993611720334
"Cers2",0.838909005956586,0.38201326069836,-0.157434392962305
"Fcgr1",0.0508036390370137,0.922195605708596,0.440879048858328
"Txnip",0.152953879278243,0.373236040583655,0.686114392260797
"Notch2",-0.676935555845755,-0.366583483720057,-0.366894767040869
"Cd53",0.640025844686951,0.330250836629251,0.117580339996161
"AI504432",-1.16321539692264,0.0236668520074117,0.343692826431869
"Gstm1",0.324783370825139,-0.560066898371788,-0.923995126072714
"Psma5",0.196921779173941,0.526193723590128,0.43395365462679
"Prpf38b",-0.430335912813666,-0.645333085338093,-0.6755287697447
"Snhg8",-0.552756507975388,-0.233712530989272,0.216122122989869
"Cenpe",-0.0686329899822198,0.917158036454055,0.592384190714013
"Gtf2b",0.230956759455704,0.538307843381997,0.308208117289957
"Lmo4",-0.861270033896888,0.0774340632937509,0.100153136551159
"Ifi44",-0.506963910437681,-0.0160543073110988,-0.0602506123061435
"Cd72",0.179332022613341,1.21829176216131,0.753542348622477
"Nr4a3",-0.586170325581581,0.274427224251384,0.506853676843673
"Ifna14",0.784711353183445,2.11311394522402,1.73428773167082
"Ifna9",-0.083781632191021,1.69985229634249,1.44797341306726
"Ifna16",0.392619102001332,1.55567424271162,1.70390807317661
"Ifna2",0.181375591648764,0.874304733593337,0.760742434508657
"Ifna5",0.163232030034302,1.60574335121848,1.45761797773923
"Ifna4",0.136132951010775,1.56554940611283,1.19822706975254
"Tusc1",-0.442262436474546,-1.21972217916615,-0.0555955163045341
"Dhcr24",-1.88156558322757,-1.79364022631817,-0.909291474660684
"Magoh",0.26521911190619,0.604017454997312,0.638935969093903
"Akr1a1",0.571462718639795,-0.232856211294916,-0.246388185581603
"Prdx1",0.639769686590475,-0.511467227657921,-0.249585516201684
"Sf3a3",0.293978425564205,0.634601541495147,0.721972052508214
"Grik3",0.26666227206241,-0.420961332565083,-0.644151846536174
"Psmb2",0.371389023010842,0.567393119548084,0.456971031585748
"Marcksl1",-0.891587765920841,-0.0960979405013909,0.0671219350714107
"Sdc3",-0.672264696790632,-0.231786270616634,-0.028083610033705
"Oprd1",-0.345812102212567,0.791552823667126,1.17460632552811
"Fgr",-1.1658998999076,-0.19626810944185,-0.215616520777936
"Cd52",0.162949769135166,0.423646819657682,0.504833827172419
"C1qb",-0.447455860705634,1.01233702397674,0.650948814612565
"C1qc",-0.373587386916863,1.0581642527671,0.702579347187502
"C1qa",-0.107557937143164,1.62961629509326,1.78676817406677
"Efhd2",-0.664300753357432,-0.421926997544019,-0.212625870171204
"Tnfrsf1b",-0.751617209031352,-0.406878312368567,-0.458481131681783
"Gm26624",0.402794567862204,0.748094119063976,0.455777989667038
"Eno1",0.354815677329718,0.538506854176443,0.33671809031976
"Tnfrsf9",-0.570936787145818,1.03493970665213,1.29339100321474
"Cd36",0.882754144681115,-0.0194512118089758,-0.0996314806339065
"Ccdc146",0.941112288780467,0.26373745508615,-0.76255794168375
"Fgl2",-0.554128783411053,0.45005741479601,0.576738135455184
"Psmc2",0.107671564191707,0.505311694501063,0.0937808561916853
"Insig1",-0.540430395309341,-0.55724175350468,-0.611187590217701
"Il6",-0.7100100155508,-0.0754720799881916,0.0100785372369518
"Zfp512",1.79280952204959,1.64236528214311,1.61046286422325
"Kdr",-0.861810177402879,0.22201747243767,0.171915364556566
"Stap1",0.294264217998332,0.685284645321051,0.288086910971892
"Pf4",0.549498650974124,0.300452158268392,0.844225613004765
"Sept11",-0.355301650268461,-0.36452190084266,-0.604251969065826
"Mir703",-0.0677348710391605,0.592892662031748,0.387107183951474
"Arhgap24",-0.879688289031463,-0.376982403838729,-0.791955991832276
"Rplp0",0.315469022737698,0.546540039217525,0.428670538028038
"Oas3",-0.797636423166766,-0.198029303574853,-0.146416840065263
"Rpl6",0.2456186074561,0.642369374364821,0.59017173590733
"Trafd1",-0.657919718747172,-0.53316933397427,-0.316956834368337
"Aldh2",-0.0819133568462593,-0.603405759676376,-0.628705723372462
"Hvcn1",0.331762520511331,-0.302426408372154,-0.587927432316376
"P2rx4",-0.541192150209336,-0.0761259052516667,-0.163049580042673
"Sbds",0.264113725443719,0.541018598083197,0.322193133938269
"Mdh2",0.717626238095963,0.562917926307786,0.363804200981857
"Pilra",0.334461672262493,0.833935055229703,0.575401513306609
"Pilrb1",-0.178045983358824,0.828975557381139,0.55157067600202
"Fam20c",0.35105091723857,-0.330867766958404,-0.544295293179258
"Fscn1",-0.767860798813334,0.353755980909525,0.847556082309951
"Pon2",-0.506572910535858,-0.23689041687363,-0.259691967804716
"Rpa3",0.420140787553825,0.793996719874882,1.11535887560675
"Ndufa4",0.513709219360276,-0.259525488309702,-0.169264807601332
"Tfec",0.873026434246158,0.0304250850508758,-0.328996648801348
"Gm15581",0.882396996340658,0.0111625114031195,-0.707868616572624
"Copg2",0.901391337240829,0.995668628097169,0.366836743281329
"Akr1b10",1.51872728575876,0.99919383292235,0.0686187539575265
"Ssbp1",0.413562409509114,0.643546446959129,0.539446214079612
"Clec5a",0.0285247994168882,0.516691641732938,0.148246736919469
"Pdia4",0.605499971132153,0.281262979845744,0.143951207014172
"Tra2a",-0.524461729055695,-0.32498309164769,-0.31601748457947
"Npy",-0.0371841050055108,0.53230989384767,0.431983268147492
"Tnip3",0.248583343792625,0.63313053665996,0.321303272220678
"Rnf181",0.744377353020312,0.463128693364314,0.260524154690351
"Mthfd2",0.0741746145659805,0.764815521913595,0.544443982004876
"Mgll",-0.134576932160195,-0.398602294651146,-0.581574652501469
"Plxna1",-0.405095615841596,-0.566715824174341,-0.609332829572486
"Frmd4b",-0.78288999646489,0.2323480461205,-0.182888820978149
"Foxp1",-1.02247334058401,-0.321527964763581,-0.194906217788766
"Irak2",-0.820864656199719,-0.501540058988128,-0.437314414519953
"Rpl32",0.152319852544178,0.408410963644599,0.500716829219495
"Gm44148",0.813398472146751,0.0787564126740934,-0.187101149122647
"C3ar1",0.677803007794562,0.427199497776911,0.108501473432819
"Clec4n",0.784943187887091,0.00720099924720508,-0.0292544600931262
"Emg1",0.802639269695145,0.813900786992067,1.22500801618268
"Ptms",-0.821399630936992,-0.304766818808588,-0.335030583116996
"Ccnd2",-0.527976419326919,0.51144269408943,0.400360994493166
"Clec7a",0.366983201630932,0.523589418120109,0.243637577576774
"Olr1",0.883417859156278,0.691565833975289,0.478694616051568
"Tarm1",-0.294457791776552,-0.551548967347731,-0.407661273427952
"Leng9",-1.18757013841278,-1.18393621930587,-1.80095518556105
"C5ar1",-0.503616617182719,-0.0660337236647184,0.0726884754812271
"Rps19",0.0868408878895242,0.551983087840695,0.493349074346972
"Axl",-0.543845848890802,-0.0300379370241508,-0.083197352846641
"Blvrb",0.28058661258623,-0.983756373386893,-0.777757273151519
"Rps16",0.0141988026121549,0.294492006827614,0.505483594632166
"Hamp",-1.51677381870283,-0.463119896101288,-0.24709538635342
"Fxyd5",0.141838672548074,0.554112809895491,0.337203007473827
"Ccne1",-0.525801888060048,-0.357075290019587,-0.889620316341869
"Klk1b1",-0.164192733267425,0.871251445508618,0.322055236797277
"Klk1b9",-0.810177700707905,1.3046947816143,0.545066787945616
"Klk1b11",-0.674924686696983,0.912632728245668,0.438543124578847
"Napsa",-0.0920075724133991,0.623993640755452,0.277431021265636
"Il4i1",0.479731088139117,1.40170816551437,1.09129757562115
"Rps11",0.0816216285676763,0.584904553672965,0.70976623086788
"Gm10252",0.303651167772846,-1.09435706394688,-1.61513787246314
"Saa3",-1.13306368636884,0.30031049512775,0.302987170170485
"Gm10974",0.629868115374519,0.844770112775584,0.397554996898147
"Abhd2",-0.539161775711913,-0.77139058384351,-0.377838732289035
"Prc1",0.524295861373094,1.0876426012813,0.801724286220367
"Furin",-0.592305641791977,-0.411097409669627,-0.266388062368208
"Tmem126a",0.581029676793539,0.264163049005145,-0.0594938921484154
"Trim30c",-0.470398741461718,-0.312015464982111,-0.516228697142575
"Eif3f",0.069737723323299,0.471634356749515,0.527295064563203
"Rps15a",-0.0605007592910738,0.546396703081427,0.627405735421672
"Gde1",-0.0496515136990618,-0.579650694480773,-0.246290483870687
"Uqcrc2",0.356462452729057,0.596257630604137,0.475742439139698
"Ifitm1",-0.0240135496651845,0.680515772126507,0.593405045800001
"Ifitm3",-0.24727031924925,0.671844445153662,0.463323324725604
"Lsp1",-0.241465557703648,0.540766796070079,0.540378973481403
"Kcnq1ot1",1.11804548381834,0.0687800376947734,-0.0696816421142863
"Tnfrsf26",0.968177509697768,-0.0316137464876105,-0.369956850734198
"Ppil4",0.121986564966596,0.803234252845645,0.462722906713835
"Adgrg6",0.0959225882548784,0.875623625752476,0.725728958151922
"Gm20139",-1.72274315745894,-0.487736988579858,-1.20240597765835
"Sgk1",-0.127894473688233,-0.573704261382002,-0.56794139191417
